area_type,route_type,hour,day_of_week,weather,rainfall_mm,traffic_index,passenger_load_pct,scheduled_headway_min,stop_count,distance_km,road_condition,previous_delay_min,special_event,delay_minutes,delay_category
Rural,Feeder Bus,5,2,Cloudy,1.63,33.08,47.76,14.38,11,15.78,Good,0.0,0,4.38,On Time / Minor
Rural,Feeder Bus,18,3,Rain,4.46,50.15,73.38,14.25,25,18.91,Good,1.54,0,20.36,Major Delay
Urban,Feeder Bus,21,5,Heavy Rain,0.93,84.16,70.91,15.87,20,2.0,Good,0.3,0,18.84,Major Delay
Urban,Local Bus,15,1,Cloudy,2.5,0.0,73.2,22.42,13,4.38,Good,6.37,0,12.77,Moderate Delay
Urban,Local Bus,6,5,Clear,3.1,33.95,66.62,5.82,28,11.84,Average,4.66,0,15.56,Major Delay
Urban,Feeder Bus,14,6,Cloudy,4.53,12.86,73.13,5.63,19,12.39,Good,0.29,0,11.8,Moderate Delay
Rural,Local Bus,12,3,Cloudy,1.42,16.5,28.37,11.88,27,3.26,Good,1.39,1,15.11,Major Delay
Rural,Local Bus,13,6,Clear,5.52,70.67,88.31,3.0,5,7.09,Average,13.29,0,12.6,Moderate Delay
Rural,Local Bus,5,6,Heavy Rain,7.03,35.77,21.87,27.84,8,19.61,Good,0.0,0,13.13,Moderate Delay
Urban,Local Bus,10,5,Clear,6.89,0.0,64.24,19.6,28,9.23,Average,2.58,0,10.87,Moderate Delay
Urban,Local Bus,22,2,Rain,0.58,44.36,57.03,17.1,17,12.05,Average,6.4,1,20.59,Major Delay
Urban,Feeder Bus,5,2,Clear,6.71,94.82,45.49,18.7,10,19.95,Average,3.85,0,9.93,Moderate Delay
Urban,Feeder Bus,21,6,Clear,6.98,6.45,38.5,21.63,28,11.47,Good,6.55,0,13.5,Moderate Delay
Urban,Feeder Bus,14,3,Cloudy,14.21,60.26,68.99,10.31,9,14.94,Good,8.99,0,12.68,Moderate Delay
Urban,Local Bus,15,0,Cloudy,0.71,84.06,74.03,11.83,5,13.86,Average,10.7,0,19.19,Major Delay
Urban,Local Bus,21,5,Rain,10.85,46.86,55.94,16.05,21,9.32,Poor,3.73,0,17.33,Major Delay
Urban,Local Bus,8,2,Cloudy,0.2,92.34,52.22,10.97,9,9.03,Good,5.53,0,18.82,Major Delay
Urban,Local Bus,22,6,Clear,7.21,32.82,83.63,8.43,26,16.91,Good,4.55,0,19.24,Major Delay
Rural,Local Bus,9,5,Heavy Rain,8.53,81.26,49.57,10.82,17,10.96,Good,0.0,0,23.75,Major Delay
Rural,Express Bus,11,0,Cloudy,6.93,75.83,57.16,16.29,32,5.96,Average,4.48,1,12.96,Moderate Delay
Urban,Feeder Bus,13,6,Clear,10.25,47.25,53.93,19.47,20,16.41,Good,0.0,0,16.37,Major Delay
Rural,Local Bus,15,6,Rain,22.22,13.79,100.0,6.38,10,2.0,Poor,5.37,0,21.72,Major Delay
Rural,Local Bus,10,5,Clear,0.86,24.96,41.2,12.86,20,18.89,Good,0.0,0,9.34,Moderate Delay
Urban,Local Bus,19,1,Clear,2.32,0.0,74.63,13.68,24,10.07,Poor,0.0,1,20.15,Major Delay
Urban,Local Bus,5,4,Cloudy,1.37,61.67,24.01,5.66,31,11.04,Good,7.78,0,20.16,Major Delay
Rural,Local Bus,16,6,Cloudy,5.91,58.91,38.84,16.69,8,11.42,Good,5.83,1,10.58,Moderate Delay
Urban,Local Bus,16,5,Cloudy,1.94,49.82,51.82,13.36,27,17.65,Good,3.41,0,11.01,Moderate Delay
Urban,Local Bus,14,3,Heavy Rain,6.25,45.18,55.38,8.37,23,11.87,Good,1.25,0,19.44,Major Delay
Urban,Local Bus,16,4,Clear,2.74,79.22,52.51,11.11,33,10.89,Poor,0.0,0,13.68,Moderate Delay
Rural,Feeder Bus,18,2,Heavy Rain,3.79,54.85,56.01,17.21,22,6.24,Average,0.64,0,20.69,Major Delay
Urban,Local Bus,21,1,Clear,3.26,35.24,44.22,19.87,33,7.43,Good,6.93,0,15.54,Major Delay
Rural,Local Bus,8,4,Clear,0.22,51.39,83.75,16.04,21,14.21,Poor,2.23,0,19.26,Major Delay
Rural,Local Bus,13,3,Clear,3.59,95.09,37.99,25.44,6,12.11,Good,0.0,0,7.69,Moderate Delay
Urban,Local Bus,15,1,Clear,0.39,62.31,72.89,20.69,8,19.44,Good,0.0,0,15.4,Major Delay
Urban,Express Bus,11,4,Clear,0.51,39.03,71.55,17.31,8,6.93,Good,0.0,0,7.22,Moderate Delay
Urban,Feeder Bus,22,2,Rain,10.43,46.98,39.04,9.78,20,5.23,Average,2.18,1,14.99,Moderate Delay
Urban,Feeder Bus,14,4,Rain,5.79,58.66,50.66,20.79,29,12.5,Poor,2.03,0,20.24,Major Delay
Urban,Express Bus,15,2,Rain,5.36,38.32,57.95,9.39,22,10.57,Good,0.0,0,16.83,Major Delay
Urban,Local Bus,8,6,Clear,3.65,36.28,91.51,18.48,33,5.01,Average,6.57,0,16.26,Major Delay
Urban,Local Bus,12,5,Rain,19.1,47.74,50.62,3.0,20,8.4,Good,0.0,0,21.57,Major Delay
Rural,Local Bus,16,3,Clear,3.56,82.94,100.0,11.04,25,14.52,Good,0.0,0,15.7,Major Delay
Urban,Local Bus,12,4,Rain,2.94,66.19,73.36,5.61,11,4.4,Average,7.42,0,19.14,Major Delay
Urban,Feeder Bus,18,1,Rain,2.83,38.58,64.87,12.28,5,5.31,Average,6.2,0,17.06,Major Delay
Urban,Local Bus,7,6,Clear,8.99,67.99,75.68,4.77,26,7.36,Average,2.15,0,16.7,Major Delay
Urban,Local Bus,7,1,Cloudy,3.38,48.2,23.63,14.17,7,7.46,Good,8.19,0,8.53,Moderate Delay
Urban,Local Bus,11,6,Heavy Rain,4.47,55.93,81.44,16.8,33,14.97,Good,4.8,0,29.82,Major Delay
Urban,Local Bus,10,5,Clear,9.61,53.83,31.54,10.1,33,8.22,Average,3.85,0,12.74,Moderate Delay
Urban,Feeder Bus,19,1,Rain,5.48,0.0,75.39,12.08,11,19.16,Average,6.5,0,21.68,Major Delay
Urban,Local Bus,20,0,Heavy Rain,7.64,0.0,46.15,15.32,7,5.78,Good,5.53,0,23.81,Major Delay
Rural,Local Bus,13,5,Clear,1.36,53.21,42.01,13.72,31,12.82,Good,10.16,0,11.4,Moderate Delay
Urban,Local Bus,14,6,Clear,0.72,28.38,93.45,22.09,32,10.8,Average,2.12,0,17.39,Major Delay
Urban,Feeder Bus,10,5,Clear,12.31,10.3,56.01,9.89,21,11.02,Good,2.29,0,14.77,Moderate Delay
Urban,Local Bus,14,0,Rain,7.41,29.09,27.38,17.22,16,2.0,Average,4.48,0,16.59,Major Delay
Urban,Express Bus,17,4,Clear,6.05,69.27,77.5,15.56,18,5.51,Average,3.61,0,12.63,Moderate Delay
Urban,Local Bus,18,2,Clear,4.78,56.23,33.59,4.47,32,10.16,Good,12.78,0,16.31,Major Delay
Urban,Local Bus,22,6,Clear,3.32,65.75,85.21,14.52,21,2.0,Average,6.12,0,19.03,Major Delay
Rural,Feeder Bus,15,5,Heavy Rain,1.43,58.42,57.68,13.48,10,2.0,Average,0.0,0,11.42,Moderate Delay
Urban,Local Bus,11,5,Rain,1.36,26.87,32.52,11.05,25,4.83,Average,0.0,0,7.47,Moderate Delay
Urban,Local Bus,6,2,Cloudy,0.7,65.86,74.43,24.65,34,12.69,Poor,11.36,0,21.65,Major Delay
Rural,Express Bus,17,2,Heavy Rain,0.4,61.47,68.42,21.71,6,13.39,Average,1.62,0,17.94,Major Delay
Urban,Local Bus,19,5,Cloudy,2.18,45.3,15.53,9.42,20,4.88,Good,5.15,0,13.67,Moderate Delay
Urban,Local Bus,14,0,Heavy Rain,12.23,49.35,56.73,17.81,21,9.99,Good,3.41,0,17.5,Major Delay
Urban,Feeder Bus,21,0,Clear,0.37,66.23,63.98,18.46,28,13.12,Average,7.53,0,18.53,Major Delay
Rural,Local Bus,10,0,Clear,3.79,30.76,62.81,14.88,21,17.63,Good,0.73,0,15.97,Major Delay
Urban,Local Bus,5,3,Rain,13.26,73.02,54.31,7.41,11,17.43,Average,4.09,1,21.98,Major Delay
Urban,Local Bus,16,0,Clear,8.93,61.0,72.9,8.29,23,15.56,Good,0.77,0,10.11,Moderate Delay
Urban,Express Bus,7,4,Clear,3.4,48.05,69.38,17.17,8,8.3,Good,17.41,0,17.68,Major Delay
Urban,Local Bus,6,1,Rain,1.49,83.22,58.62,17.04,20,10.75,Good,0.0,0,10.15,Moderate Delay
Rural,Local Bus,17,6,Cloudy,0.11,18.23,53.27,12.29,11,11.36,Poor,6.3,0,11.76,Moderate Delay
Urban,Express Bus,12,3,Clear,3.91,37.42,60.96,21.89,34,9.92,Average,17.73,0,18.08,Major Delay
Urban,Express Bus,15,0,Clear,6.55,32.31,45.93,22.96,27,4.12,Average,8.99,0,7.57,Moderate Delay
Urban,Feeder Bus,18,4,Clear,1.53,56.24,37.55,22.89,27,18.21,Good,3.39,0,11.06,Moderate Delay
Urban,Local Bus,11,2,Clear,9.49,75.2,35.52,22.92,5,13.16,Poor,4.33,1,18.6,Major Delay
Urban,Local Bus,15,1,Clear,2.98,25.39,56.0,13.9,17,15.35,Poor,0.0,0,18.14,Major Delay
Urban,Local Bus,14,4,Cloudy,4.59,100.0,40.85,5.99,25,14.3,Good,11.9,1,22.53,Major Delay
Urban,Express Bus,15,6,Rain,3.4,32.76,54.82,12.07,19,8.83,Average,2.37,0,18.16,Major Delay
Rural,Local Bus,17,6,Clear,9.37,56.3,84.6,13.31,8,3.5,Poor,3.13,0,16.05,Major Delay
Rural,Express Bus,11,3,Clear,9.64,48.06,53.86,10.22,20,14.75,Good,0.0,0,6.15,Moderate Delay
Rural,Local Bus,14,5,Cloudy,5.68,49.06,60.76,11.72,24,14.43,Good,1.94,0,8.55,Moderate Delay
Urban,Feeder Bus,15,1,Clear,2.45,29.77,53.43,7.07,26,12.45,Average,3.83,1,16.28,Major Delay
Rural,Feeder Bus,7,5,Clear,3.27,72.55,84.13,18.29,14,21.76,Good,8.95,0,17.0,Major Delay
Rural,Local Bus,8,6,Clear,19.8,28.36,91.16,23.77,22,8.17,Average,4.83,0,24.83,Major Delay
Rural,Feeder Bus,6,3,Cloudy,13.91,7.31,48.61,28.29,32,9.43,Average,8.97,0,14.66,Moderate Delay
Urban,Feeder Bus,8,3,Clear,3.59,22.19,72.56,15.49,33,12.03,Good,0.0,0,7.6,Moderate Delay
Urban,Local Bus,12,3,Clear,0.77,81.24,99.82,12.97,14,8.51,Good,10.5,0,20.83,Major Delay
Urban,Local Bus,21,0,Cloudy,8.06,76.76,34.79,13.78,25,9.83,Average,0.0,0,11.96,Moderate Delay
Rural,Express Bus,21,6,Rain,1.96,1.83,77.61,22.17,32,16.16,Good,7.35,0,8.37,Moderate Delay
Urban,Local Bus,18,5,Rain,11.74,66.72,23.19,22.07,7,7.76,Good,0.0,0,18.11,Major Delay
Urban,Local Bus,15,6,Heavy Rain,1.51,2.42,58.59,12.56,22,8.1,Good,3.83,0,20.71,Major Delay
Urban,Local Bus,8,0,Cloudy,1.99,47.37,55.2,21.22,27,13.89,Average,8.24,0,21.69,Major Delay
Urban,Feeder Bus,11,5,Clear,0.65,20.22,23.86,14.97,11,4.4,Good,0.0,0,4.39,On Time / Minor
Urban,Local Bus,18,2,Clear,16.06,68.49,79.78,9.59,13,10.59,Good,3.68,0,24.52,Major Delay
Rural,Express Bus,21,5,Clear,1.02,60.76,60.95,13.07,30,10.33,Average,8.13,1,19.07,Major Delay
Rural,Local Bus,22,6,Clear,7.49,70.53,39.45,24.22,10,14.13,Good,7.17,0,8.29,Moderate Delay
Rural,Local Bus,11,6,Clear,2.79,41.21,64.57,18.33,14,15.02,Average,0.0,0,19.68,Major Delay
Urban,Feeder Bus,13,6,Clear,2.03,43.6,76.08,10.96,29,10.2,Good,8.49,0,16.45,Major Delay
Urban,Local Bus,14,0,Rain,1.89,13.52,22.62,19.62,23,10.57,Average,12.04,0,15.79,Major Delay
Urban,Local Bus,6,2,Cloudy,11.53,24.3,10.0,18.28,24,10.82,Good,9.58,0,10.0,Moderate Delay
Urban,Local Bus,7,2,Clear,29.17,69.82,57.16,12.14,21,9.46,Good,0.0,1,7.5,Moderate Delay
Urban,Express Bus,5,3,Cloudy,10.47,56.45,42.63,9.52,16,17.46,Good,0.0,0,13.14,Moderate Delay
Urban,Local Bus,18,6,Clear,0.2,50.4,84.77,7.33,28,13.51,Poor,3.88,0,19.02,Major Delay
Urban,Local Bus,9,4,Cloudy,7.52,77.03,50.59,4.13,13,17.33,Average,6.43,0,17.98,Major Delay
Urban,Local Bus,17,3,Cloudy,2.82,18.1,64.19,10.07,12,6.62,Good,7.85,0,13.67,Moderate Delay
Urban,Local Bus,11,5,Clear,3.01,64.56,54.26,12.93,18,17.26,Good,0.0,0,9.9,Moderate Delay
Urban,Local Bus,19,1,Clear,4.23,20.88,27.08,21.56,8,11.6,Good,3.13,0,12.12,Moderate Delay
Urban,Local Bus,7,4,Heavy Rain,3.44,81.99,58.61,18.95,23,14.42,Good,0.0,0,19.69,Major Delay
Urban,Local Bus,10,3,Cloudy,5.7,60.52,31.48,15.18,32,2.0,Good,0.0,0,8.59,Moderate Delay
Urban,Local Bus,8,1,Cloudy,2.67,70.18,30.5,3.0,26,19.13,Poor,5.53,1,23.87,Major Delay
Rural,Express Bus,12,4,Clear,8.24,31.86,36.05,15.77,14,13.2,Good,3.13,0,5.18,Moderate Delay
Urban,Express Bus,15,5,Clear,3.72,98.19,34.29,4.13,7,20.32,Poor,5.78,0,9.16,Moderate Delay
Urban,Local Bus,8,5,Clear,3.8,93.97,53.79,19.24,23,16.56,Good,0.64,1,14.47,Moderate Delay
Urban,Local Bus,17,5,Heavy Rain,3.37,57.9,50.16,19.41,20,2.0,Average,6.85,0,23.44,Major Delay
Urban,Local Bus,22,5,Clear,7.5,75.03,63.68,14.31,31,18.61,Good,0.0,1,18.37,Major Delay
Rural,Feeder Bus,5,3,Clear,2.19,41.06,26.52,18.9,19,11.93,Good,1.22,0,13.02,Moderate Delay
Urban,Local Bus,6,0,Heavy Rain,5.72,18.82,52.97,20.09,7,14.21,Average,0.0,0,21.79,Major Delay
Rural,Local Bus,22,6,Clear,3.92,66.3,48.37,14.66,32,13.71,Good,4.92,0,15.41,Major Delay
Urban,Local Bus,16,3,Clear,11.69,26.86,62.03,13.13,13,10.51,Poor,12.56,0,15.29,Major Delay
Urban,Local Bus,21,4,Cloudy,2.36,78.14,62.99,6.03,28,8.98,Average,5.34,0,15.9,Major Delay
Urban,Local Bus,17,0,Clear,8.4,72.1,61.13,11.87,7,14.53,Poor,2.99,0,20.6,Major Delay
Rural,Local Bus,17,6,Heavy Rain,4.78,53.41,38.19,8.02,33,6.84,Average,2.51,0,26.08,Major Delay
Urban,Express Bus,7,6,Clear,10.94,52.12,58.49,7.96,32,11.14,Good,0.6,0,15.53,Major Delay
Urban,Express Bus,14,6,Rain,3.79,70.75,47.74,9.6,7,18.01,Good,9.03,1,15.45,Major Delay
Urban,Express Bus,11,1,Clear,2.1,54.31,84.28,3.0,33,4.9,Average,5.56,0,15.82,Major Delay
Urban,Express Bus,20,5,Rain,2.08,38.7,60.21,19.88,28,10.01,Good,0.0,0,13.37,Moderate Delay
Urban,Local Bus,5,4,Rain,4.33,13.17,59.59,15.31,32,16.84,Average,8.94,0,11.21,Moderate Delay
Urban,Feeder Bus,5,1,Rain,3.47,70.05,32.38,20.97,11,6.91,Good,0.0,0,11.45,Moderate Delay
Urban,Express Bus,15,3,Rain,2.26,56.43,46.19,18.81,15,2.0,Average,0.22,0,10.88,Moderate Delay
Rural,Feeder Bus,22,3,Rain,4.43,100.0,63.18,16.99,20,2.0,Good,5.51,0,18.72,Major Delay
Rural,Express Bus,22,4,Clear,2.86,45.79,56.43,18.77,19,8.65,Good,0.51,1,6.47,Moderate Delay
Urban,Local Bus,15,0,Clear,3.59,54.95,56.21,14.9,26,19.42,Poor,14.71,0,17.24,Major Delay
Urban,Local Bus,12,3,Clear,0.31,55.49,22.93,21.83,32,7.19,Average,2.31,0,16.72,Major Delay
Urban,Local Bus,9,4,Clear,0.93,62.97,41.72,10.94,31,9.56,Good,6.67,0,13.01,Moderate Delay
Urban,Local Bus,22,5,Clear,1.02,25.76,52.5,13.88,31,11.27,Good,0.0,0,9.33,Moderate Delay
Urban,Local Bus,8,5,Rain,3.27,46.22,82.03,12.32,14,16.53,Average,0.42,0,21.07,Major Delay
Urban,Local Bus,7,4,Rain,2.63,67.04,20.18,26.1,5,15.29,Good,2.85,0,17.15,Major Delay
Rural,Local Bus,14,4,Heavy Rain,2.67,40.35,37.12,10.21,10,10.23,Average,8.48,0,24.09,Major Delay
Rural,Feeder Bus,12,0,Clear,0.32,66.17,20.04,21.73,10,14.0,Average,0.0,0,7.97,Moderate Delay
Urban,Express Bus,13,5,Rain,9.08,50.22,64.51,5.82,28,16.3,Good,9.5,1,18.47,Major Delay
Rural,Express Bus,21,2,Rain,11.26,57.24,81.72,14.6,17,2.77,Good,4.14,0,12.76,Moderate Delay
Urban,Local Bus,9,3,Heavy Rain,0.51,74.48,65.21,12.91,16,9.12,Good,5.14,0,20.69,Major Delay
Urban,Express Bus,20,3,Rain,2.47,42.77,69.54,7.87,27,5.0,Good,0.0,0,16.64,Major Delay
Urban,Feeder Bus,8,6,Clear,2.6,14.61,37.36,10.01,7,7.37,Average,0.0,1,11.82,Moderate Delay
Urban,Express Bus,10,2,Clear,5.16,41.87,65.39,17.02,16,14.25,Good,0.0,0,6.85,Moderate Delay
Rural,Express Bus,5,2,Heavy Rain,2.07,29.01,42.55,11.98,17,5.0,Poor,5.0,0,12.13,Moderate Delay
Rural,Local Bus,17,5,Rain,8.32,0.0,59.19,8.21,11,22.55,Average,6.64,0,16.85,Major Delay
Urban,Local Bus,20,4,Rain,0.83,45.55,68.05,19.39,14,14.3,Good,1.69,0,18.88,Major Delay
Rural,Express Bus,20,2,Rain,6.59,52.58,52.16,13.87,29,8.08,Average,0.0,0,13.19,Moderate Delay
Urban,Feeder Bus,8,2,Rain,5.01,71.48,74.4,15.99,25,10.34,Good,0.72,0,13.6,Moderate Delay
Urban,Local Bus,18,5,Rain,0.62,21.8,54.73,20.56,15,4.56,Good,5.37,0,20.46,Major Delay
Urban,Local Bus,7,5,Heavy Rain,2.34,50.04,63.47,23.27,31,3.63,Average,4.42,1,24.76,Major Delay
Rural,Local Bus,16,1,Rain,0.74,73.95,95.82,3.0,8,9.07,Good,6.86,0,20.68,Major Delay
Urban,Local Bus,17,2,Clear,16.95,34.78,67.95,13.36,31,17.54,Good,0.0,0,19.74,Major Delay
Urban,Feeder Bus,7,5,Clear,2.89,60.33,43.01,3.94,24,3.97,Good,1.47,0,18.7,Major Delay
Urban,Express Bus,6,0,Clear,2.0,84.75,48.39,30.36,11,17.17,Good,3.0,0,9.71,Moderate Delay
Rural,Local Bus,6,1,Clear,0.22,5.16,75.46,14.9,30,10.07,Average,6.67,0,8.51,Moderate Delay
Rural,Local Bus,17,1,Rain,4.73,54.27,78.85,19.84,9,12.19,Poor,0.48,1,15.65,Major Delay
Rural,Local Bus,16,3,Rain,2.29,74.75,57.27,10.24,22,11.37,Average,6.17,0,17.49,Major Delay
Rural,Local Bus,7,3,Clear,6.52,39.93,27.46,11.87,22,14.87,Poor,0.0,0,21.81,Major Delay
Rural,Local Bus,14,2,Clear,12.95,79.9,38.99,20.6,34,16.49,Average,4.58,0,16.31,Major Delay
Urban,Feeder Bus,19,0,Cloudy,7.38,62.59,61.61,17.09,11,9.93,Good,2.03,0,18.36,Major Delay
Urban,Express Bus,9,4,Rain,0.94,88.7,69.61,24.07,31,13.55,Poor,1.74,0,18.2,Major Delay
Rural,Local Bus,15,5,Cloudy,2.03,61.4,78.1,8.99,9,17.5,Good,15.57,0,21.16,Major Delay
Urban,Express Bus,10,1,Clear,0.53,90.61,17.36,12.69,12,15.07,Good,1.84,0,13.6,Moderate Delay
Urban,Express Bus,9,4,Clear,1.48,54.9,75.43,17.08,6,8.93,Poor,1.39,0,15.3,Major Delay
Urban,Local Bus,12,5,Cloudy,8.73,16.54,86.54,17.99,14,10.02,Average,0.0,1,19.03,Major Delay
Rural,Express Bus,11,3,Cloudy,1.63,33.49,10.13,16.52,26,6.07,Poor,8.45,1,12.51,Moderate Delay
Urban,Express Bus,13,4,Rain,6.58,71.42,57.89,6.06,10,20.09,Good,0.78,0,15.72,Major Delay
Rural,Feeder Bus,8,1,Heavy Rain,1.88,70.97,73.16,8.34,7,12.53,Average,3.34,0,18.87,Major Delay
Urban,Local Bus,12,6,Clear,7.25,40.86,29.77,16.05,21,3.98,Good,0.0,0,7.9,Moderate Delay
Urban,Local Bus,16,6,Clear,0.91,89.5,48.01,4.74,5,6.8,Good,5.58,0,10.01,Moderate Delay
Rural,Local Bus,11,4,Clear,0.67,39.86,69.2,8.68,24,10.23,Poor,8.16,0,14.31,Moderate Delay
Urban,Local Bus,16,6,Clear,16.83,58.63,47.55,14.22,27,17.71,Good,10.04,0,10.1,Moderate Delay
Urban,Local Bus,7,4,Clear,1.04,57.99,50.73,9.34,27,10.04,Average,2.92,0,24.8,Major Delay
Urban,Express Bus,7,4,Clear,8.92,17.4,62.42,15.38,7,14.02,Poor,0.53,0,9.19,Moderate Delay
Rural,Local Bus,20,5,Clear,5.6,45.46,34.6,13.46,20,7.43,Poor,0.21,0,19.16,Major Delay
Urban,Local Bus,13,0,Rain,1.41,100.0,36.66,9.27,14,14.22,Good,3.59,1,13.59,Moderate Delay
Urban,Feeder Bus,15,1,Clear,2.45,26.79,67.37,9.41,8,17.51,Good,4.77,0,9.03,Moderate Delay
Rural,Local Bus,18,1,Rain,9.09,62.38,76.98,21.67,9,14.95,Poor,6.22,1,22.98,Major Delay
Rural,Local Bus,7,4,Clear,1.98,21.45,65.97,16.3,12,2.0,Average,0.0,0,16.7,Major Delay
Urban,Express Bus,22,1,Clear,6.54,26.55,85.22,15.48,27,10.24,Average,4.17,0,14.06,Moderate Delay
Urban,Local Bus,12,2,Clear,4.96,15.47,66.39,14.33,19,5.71,Good,0.0,0,6.7,Moderate Delay
Urban,Local Bus,21,3,Clear,5.11,69.64,94.94,8.56,7,14.36,Good,2.85,0,13.79,Moderate Delay
Urban,Express Bus,12,5,Clear,17.3,27.96,59.32,10.61,13,11.35,Poor,10.48,0,19.41,Major Delay
Urban,Local Bus,12,3,Rain,6.06,77.15,63.05,3.0,10,19.56,Average,2.36,0,22.72,Major Delay
Urban,Local Bus,15,0,Rain,5.04,35.78,66.06,10.18,6,9.34,Average,0.0,0,12.76,Moderate Delay
Urban,Local Bus,8,4,Clear,0.22,50.94,45.44,10.28,31,11.36,Good,5.25,0,10.55,Moderate Delay
Urban,Feeder Bus,15,2,Clear,11.24,57.46,42.48,17.29,31,10.38,Good,7.97,0,11.51,Moderate Delay
Rural,Local Bus,22,0,Clear,7.41,10.81,40.0,10.38,6,14.59,Average,0.0,0,11.72,Moderate Delay
Urban,Express Bus,16,4,Rain,4.85,52.68,46.89,18.72,20,6.14,Poor,0.0,0,9.47,Moderate Delay
Urban,Local Bus,6,1,Clear,2.43,56.05,99.42,12.44,30,6.0,Good,0.0,0,14.26,Moderate Delay
Rural,Express Bus,17,3,Clear,0.25,74.22,94.43,14.89,22,8.18,Good,1.3,0,8.88,Moderate Delay
Rural,Local Bus,5,6,Rain,5.92,25.93,51.44,13.81,15,13.92,Average,11.09,0,14.83,Moderate Delay
Rural,Local Bus,6,1,Rain,3.52,29.21,49.59,18.2,8,16.2,Good,0.0,0,13.53,Moderate Delay
Urban,Local Bus,10,6,Cloudy,16.24,63.17,15.06,21.24,7,10.53,Good,0.0,0,11.76,Moderate Delay
Urban,Express Bus,10,3,Clear,6.58,80.49,38.11,8.08,32,13.96,Average,4.86,0,18.83,Major Delay
Rural,Local Bus,5,6,Clear,4.02,34.37,41.81,24.56,24,13.54,Good,0.0,0,13.95,Moderate Delay
Urban,Local Bus,5,5,Clear,20.5,19.59,49.21,8.86,30,10.71,Average,0.0,0,27.11,Major Delay
Urban,Local Bus,19,5,Cloudy,3.5,40.72,46.61,12.89,34,10.59,Good,6.75,0,19.56,Major Delay
Urban,Local Bus,13,1,Rain,15.1,24.69,62.3,10.83,16,14.81,Average,3.96,0,19.36,Major Delay
Urban,Express Bus,8,5,Clear,23.82,57.15,73.5,23.05,26,20.58,Average,8.53,0,15.43,Major Delay
Rural,Local Bus,12,2,Rain,9.04,23.16,43.44,7.63,10,15.94,Average,7.17,0,18.52,Major Delay
Urban,Local Bus,17,6,Clear,1.21,70.38,86.74,18.31,25,17.01,Average,0.0,1,26.17,Major Delay
Rural,Local Bus,18,6,Rain,18.75,52.89,64.91,3.0,28,21.2,Average,0.0,0,18.58,Major Delay
